age,Opposites,Nspan,Colors,PSWQ,MARS,Fluency,Calculation
42,19,27,5,49,89,101,18
23,31,48,9,53,53,151,33
23,29,40,6,77,95,120,36
21,29,46,9,74,109,119,29
23,31,46,9,51,80,115,33
22,31,42,7,49,92,112,23
31,37,41,6,64,121,83,16
24,44,46,5,28,47,154,40
27,66,47,11,69,102,155,27
23,56,38,10,43,67,104,32
27,40,41,3,52,81,148,31
24,30,32,7,53,108,90,20
25,19,38,11,41,116,85,29
26,28,46,7,54,68,121,35
24,46,42,14,38,64,112,28
29,40,35,8,54,59,128,24
21,45,41,12,47,81,106,36
22,32,35,7,57,91,106,28
26,42,41,4,72,131,101,35
23,31,42,9,57,75,149,34
21,26,40,12,39,72,99,32
28,26,34,9,52,83,123,28
22,30,51,11,70,68,120,35
21,42,60,7,66,95,127,35
26,58,44,7,25,44,137,33
21,29,39,9,49,82,139,36
19,18,58,7,58,76,110,30
22,20,33,6,55,109,124,41
19,50,39,7,30,40,154,42
25,27,46,6,46,57,128,36
23,28,33,7,42,74,108,32
25,29,43,7,48,39,124,44
23,18,34,7,47,89,94,18
21,29,59,5,48,106,131,26
21,20,41,4,52,80,127,25
25,65,48,8,56,56,151,40
21,27,38,10,50,82,107,24
22,39,53,8,47,73,158,34
20,19,45,7,60,77,103,25
30,29,35,6,52,51,107,28
19,42,55,7,42,70,159,38
21,39,39,9,49,73,157,31
23,41,46,9,42,71,106,31
31,31,42,8,39,35,114,33
24,39,44,9,66,88,114,39
25,26,49,7,66,88,87,21
26,38,42,9,53,86,107,24
23,54,40,10,50,77,125,29
25,29,30,5,67,115,100,24
26,27,35,5,64,117,94,21
24,30,43,12,39,70,120,34
21,41,45,9,38,36,160,40
29,39,40,3,60,120,97,33
23,31,43,5,49,47,124,26
27,30,44,9,54,96,157,30
30,28,34,7,36,74,77,21
22,56,43,9,59,82,133,30
26,29,39,8,36,80,105,31
20,17,39,9,45,37,116,35
24,31,32,5,48,79,159,36
22,26,34,7,51,97,148,29
22,18,45,4,53,65,158,31
20,43,45,9,42,45,135,48
28,29,33,5,70,136,82,18
22,16,49,5,70,136,40,21
30,46,54,9,48,88,160,38
24,32,41,4,49,89,114,30
27,21,47,6,53,63,113,28
21,27,37,7,40,63,115,27
31,42,33,9,61,42,149,32
21,39,48,11,53,68,118,37
22,25,59,6,38,79,115,21
24,27,36,5,38,43,132,38
21,30,44,9,39,62,132,31
32,24,37,3,53,90,119,21
21,27,60,5,58,45,144,26
22,28,35,8,41,66,98,25
20,17,43,6,34,40,138,34
22,15,27,4,35,67,97,20
55,19,33,4,29,58,113,24
24,21,49,7,22,72,93,18
21,39,43,13,47,83,99,29
20,24,46,7,43,81,107,26
22,28,46,10,60,89,87,21
23,36,35,10,64,81,151,28
23,42,41,6,40,95,99,20
22,29,37,4,30,80,119,23
23,28,36,4,37,61,97,21
26,29,34,3,35,86,90,21
24,39,49,11,38,54,137,32
24,43,47,9,55,59,101,29
23,46,53,10,40,43,150,31
24,45,43,10,48,59,153,32
20,40,42,6,50,43,154,39
28,46,47,11,39,43,149,29
19,28,42,11,75,54,124,32
25,29,45,7,45,57,109,33
44,18,28,6,53,139,86,24
29,27,33,5,49,86,93,25
26,28,37,3,32,69,96,23
28,45,53,11,30,43,134,37
22,15,42,9,30,62,86,32
22,19,39,7,43,62,124,25
23,20,47,8,37,62,126,28
27,21,35,6,39,105,105,15
19,20,37,8,54,69,119,25
24,24,57,6,41,42,122,18
21,32,51,9,67,142,92,13
25,28,29,5,33,139,114,18
23,28,39,10,67,109,90,19
21,27,32,7,44,88,100,15
22,16,33,4,41,57,142,37
23,16,44,7,52,87,117,19
21,31,39,5,47,105,112,19
27,17,8,4,42,103,13,8
23,19,17,3,77,149,110,25
